TCN,REQ_DEL,EST_DE,SPOE,SPOE_AOR,SPOD,SPOD_AOR,CARRIER,SHIP_AGENCY_NM,CONTAINER_SIZE,CLASS_OF_SUPPLY,WEIGHT,SHIP_COST
BJ8H7560439025XBX,9/14/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,17079,3449.9
BJ8H7561799004XCX,10/27/2017,10/16/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,23184,4060.4
ED49252641M011KM5,9/12/2017,8/28/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,APLS - AMERICAN PRESIDENT LINES,AIR FORCE,40FT,CLASS I,22329,3974.9
FB527070262028TXX,4/28/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS III,17186,3460.6
GN0SDD2607M003MM2,9/7/2017,8/31/2017,"(3H2) SAN PEDRO,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,MAEU - MAERSK LINES INC,GSA,40FT,CLASS IX,27673,4509.3
HE60017146X500XXX,8/2/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,10948,2836.8
HQCAAB3100S223KTA,9/4/2017,9/7/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,DECA,40FT,CLASS I,10416,2783.6
HQCWJ62828S042KT2,9/27/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,MAEU - MAERSK LINES INC,DECA,40FT,CLASS I,28498,4591.8
HX6ATX2237S086MM2,9/13/2017,9/10/2017,"(2E4) HOUSTON,TX,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,40FT,CLASS II,25529,4294.9
HX7NNW3099S080TT2,9/5/2017,,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,40FT,CLASS VII,22950,4037
HX7NNW3624S0262M5,9/28/2017,9/7/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,MAEU - MAERSK LINES INC,AAFES,40FT,CLASS I,23234,4065.4
M944517159GW33XKX,9/19/2017,9/4/2017,"(1Q1) SAVANNAH,GA,US",NORTHCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,UNKNOWN,DLA,BREAKBULK,CLASS VII,13313,3073.3
N002503210S0341LA,8/16/2017,8/25/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(KF1) NAPLES,IT",EUCOM,MAEU - MAERSK LINES INC,NEXCOM,40FT,CLASS II,18033,3545.3
N3341271650001XXX,7/20/2017,,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,NAVY,BREAKBULK,CLASS II,19587,3700.7
Q953031192V002LK2,6/2/2017,8/28/2017,"(RB1) SINGAPORE,SG",PACOM,"(QF1) DIEGO GARCIA,DG",PACOM,MSCS - MSC,NAVY,20FT,CLASS VII,29789,4720.9
R6668771531650XEX,9/13/2017,9/8/2017,"(TA1) APRA HARBOR,GU",PACOM,"(3H7) TERMINAL ISLAND,CA,US",NORTHCOM,MATS - MATSON NAVIGATION CO.,NAVY,BREAKBULK,CLASS VII,19427,3684.7
SC31053182M106MLB,8/23/2017,9/7/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,29049,4646.9
SC31053356M519MLB,9/18/2017,9/7/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,12391,2981.1
SL470172190AADXXX,9/12/2017,10/15/2017,"(UB1) NAHA,JP",PACOM,"(3DL) ALAMEDA,CA,US",NORTHCOM,UNKNOWN,DLA,BREAKBULK,CLASS IX,24334,4175.4
SW310872100AANXXX,9/4/2017,9/24/2017,"(XE2) PEARL HARBOR,HI,US",PACOM,"(3D2) OAKLAND,CA,US",NORTHCOM,UNKNOWN,DLA,BREAKBULK,CLASS II,19457,3687.7
SW31423233V0042MA,9/22/2017,9/8/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(3H2) SAN PEDRO,CA,US",NORTHCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS VII,14266,3168.6
SW31423236V0032MA,9/29/2017,9/26/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(3H2) SAN PEDRO,CA,US",NORTHCOM,UNKNOWN,DLA,40FT,CLASS II,10414,2783.4
SW314271560043XXX,8/2/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,21752,3917.2
SW31853094M0251L2,8/15/2017,8/25/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PK5) KHALIFA BIN SALMAN,BH",CENTCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS II,22541,3996.1
UY800163212W51XXX,4/21/2017,,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS IV,11404,2882.4
W13PPH70805012XXD,7/31/2017,9/20/2017,"(1Q1) SAVANNAH,GA,US",NORTHCOM,"(MK4) LOME,TG",AFRICOM,SQMS - SUPERIOR MARINE SERVICES INC.,ARMY,BREAKBULK,CLASS VII,10110,2753
W22P1H3127V020KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PK6) UMM SAID,QA",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS II,29053,4647.3
W22P1H3127V070KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,12512,2993.2
W25G1R3127V200KK2,12/1/2017,8/29/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PE1) AQABA,JO",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,27778,4519.8
W25GIR71094000XAX,6/8/2017,9/24/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(CE1) GUANTANAMO,A2",SOUTHCOM,SURF - ARMY WATER CRAFT,ARMY,BREAKBULK,CLASS VII,14363,3178.3
W36QLP2239V059KK2,3/27/2017,,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LK1) ALEXANDRIA,EG",CENTCOM,TALS - TRANSATLANTIC LINES LLC,ARMY,20FT,CLASS V,15224,3264.4
W36QLP2339V059KK2,8/15/2017,9/24/2017,"(LSE) BURGAS,BG",EUCOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,20FT,Class Unknown,12651,3007.1
W36QLP2541V003KK2,4/30/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LJ5) ASHDOD,IL",EUCOM,MSCS - MSC,ARMY,20FT,CLASS III,22951,4037.1
W44XMF2582V020KK2,7/14/2017,8/31/2017,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,"(TA6) GUAM MAG,GU",PACOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,20FT,CLASS V,17100,3452
W44XMF2617V110KK2,8/15/2017,8/31/2017,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,"(TA6) GUAM MAG,GU",PACOM,MSCS - MSC,ARMY,20FT,CLASS V,21104,3852.4
W53XMD3127V028KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,23245,4066.5
W56HZW7194300WLGX,10/15/2017,8/30/2017,"(3GA) PORT HUENEME NCBC,CA,US",NORTHCOM,"(UD6) PUSAN (MILITARY TERMINAL),KR",PACOM,CEGL - CENTRAL GULF LINES,DLA,BREAKBULK,CLASS VII,13287,3070.7
W62R197111LB01XXX,7/15/2017,9/10/2017,"(PQ7) JEBEL ALI,AE",CENTCOM,"(2E1) BEAUMONT,TX,US",NORTHCOM,FRLN - FARRELL LINES INC.,ARMY,BREAKBULK,CLASS II,21380,3880
W67G233349V001KK2,7/6/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(UL9) HIRAO,JP",PACOM,MSCS - MSC,ARMY,20FT,CLASS V,20822,3824.2
W81KK57084X117XXX,5/25/2017,8/26/2017,"(XE1) HONOLULU,HI,US",PACOM,"(XA1) HILO,HI,US",PACOM,YBRL - YOUNG BROTHERS,NAVY,BREAKBULK,CLASS VII,29070,4649
W81NLE2284M0062KA,8/3/2017,9/2/2017,"(3DT) MATSON TERMINAL,CA,US",NORTHCOM,"(TJ1) KWAJALEIN ATOLL,MH",PACOM,MATS - MATSON NAVIGATION CO.,ARMY,40FT,CLASS VII,21037,3845.7
W81W1T3122V0512M2,9/14/2017,8/25/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,MAEU - MAERSK LINES INC,ARMY,20FT,CLASS II,23362,4078.2
W81WKD2380V011LM2,10/2/2017,10/7/2017,"(KF3) LIVORNO,IT",EUCOM,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,UNKNOWN,ARMY,20FT,CLASS IX,25127,4254.7
W90Z9C2643V685KK2,7/1/2017,9/24/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,28395,4581.5
W90Z9F2643V179KK2,7/3/2017,8/27/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,11318,2873.8
W91EKJ7133N002XXX,8/24/2017,9/11/2017,"(PQ7) JEBEL ALI,AE",CENTCOM,"(2F2) CORPUS CHRISTI,TX,US",NORTHCOM,FRLN - FARRELL LINES INC.,ARMY,BREAKBULK,CLASS IX,27436,4485.6
W91EKJ7138N001XXX,8/27/2017,9/10/2017,"(PQ7) JEBEL ALI,AE",CENTCOM,"(2E1) BEAUMONT,TX,US",NORTHCOM,UNKNOWN,ARMY,BREAKBULK,CLASS VII,29496,4691.6
W91EKJ7147DT16XXX,9/6/2017,9/10/2017,"(PQ7) JEBEL ALI,AE",CENTCOM,"(2E1) BEAUMONT,TX,US",NORTHCOM,LGLT - LIBERTY GLOBAL LOGISTICS,ARMY,BREAKBULK,CLASS II,27543,4496.3
WC1JTQ2280V006KK2,5/1/2017,9/13/2017,"(YC2) VALDEZ,AK,US",NORTHCOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,19901,3732.1
WK4F422501V001L12,8/31/2017,9/3/2017,"(JF1) BREMERHAVEN,DE",EUCOM,"(1M1) NORFOLK,VA,US",NORTHCOM,HLUS - HAPAG-LLOYD,ARMY,40FT,Class Unknown,25872,4329.2
WK4F422501V008L12,8/31/2017,9/3/2017,"(JF1) BREMERHAVEN,DE",EUCOM,"(1M1) NORFOLK,VA,US",NORTHCOM,HLUS - HAPAG-LLOYD,ARMY,40FT,Class Unknown,27272,4469.2
WT5JH63122V022112,10/5/2017,9/8/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(3H2) SAN PEDRO,CA,US",NORTHCOM,MAEU - MAERSK LINES INC,ARMY,40FT,Class Unknown,12811,3023.1
WT6P5V71920028XXX,8/30/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS IX,26191,4361.1
$$$057329654E1XXX,10/2/2017,9/24/2017,"(4E1) TACOMA,WA,US",NORTHCOM,"(3J1) SAN DIEGO,CA,US",NORTHCOM,MSCS - MSC,ARMY,BREAKBULK,Class Unknown,15634,3305.4
4774G52992M012KM2,8/22/2017,9/29/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,GSA,40FT,CLASS II,29456,4687.6
BJ3H7550909027XUX,11/25/2017,11/5/2017,"(2E1) BEAUMONT,TX,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,15360,3278
BJ8H7560439018XMX,6/2/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,19367,3678.7
BJ8H7560439019XCX,6/2/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,10518,2793.8
BJ8H7560439022XPX,8/29/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,29621,4704.1
BJ8H7561799025XEX,5/5/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,22844,4026.4
FB48352730V001MM2,8/15/2017,,"(PJ8) SALALAH (MINA RAYSUT),OM",CENTCOM,"(3D2) OAKLAND,CA,US",NORTHCOM,MAEU - MAERSK LINES INC,AIR FORCE,20FT,CLASS IX,18070,3549
FV52312127V012KK2,4/7/2017,9/3/2017,"(UDA) CHINHAE,KR",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,20FT,CLASS V,24052,4147.2
FV52403298V070KK2,10/6/2017,9/24/2017,"(TA6) GUAM MAG,GU",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,UNKNOWN,AIR FORCE,BREAKBULK,CLASS VII,12463,2988.3
FV529470330099XBX,4/2/2017,9/3/2017,"(UDA) CHINHAE,KR",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,BREAKBULK,CLASS VII,10674,2809.4
HL00067108X805XXA,10/1/2017,9/3/2017,"(3H2) SAN PEDRO,CA,US",NORTHCOM,"(VB1) ADELAIDE,AU",PACOM,APLS - AMERICAN PRESIDENT LINES,OTHER,BREAKBULK,CLASS II,14517,3193.7
HP92012911V001MM2,9/18/2017,,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,"(3D2) OAKLAND,CA,US",NORTHCOM,MAEU - MAERSK LINES INC,POSTAL,40FT,Class Unknown,16836,3425.6
HQCWJ62729S038KTB,9/27/2017,8/27/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DECA,40FT,CLASS I,28737,4615.7
HX6ATX3163V004MM2,8/28/2017,9/8/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(CR4) PUERTO CORTES,HN",SOUTHCOM,UNKNOWN,AAFES,20FT,CLASS I,22690,4011
HX7NNW3099S116TS2,9/8/2017,,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,40FT,CLASS VII,10965,2838.5
HX7NNW3109S0762M2,8/30/2017,9/6/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,APLS - AMERICAN PRESIDENT LINES,AAFES,40FT,CLASS I,12653,3007.3
HX7NNW3356S0242M5,9/14/2017,9/7/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,MAEU - MAERSK LINES INC,AAFES,40FT,CLASS I,15342,3276.2
HX7NNW3359S048TT2,9/20/2017,9/7/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,40FT,CLASS VI,12690,3011
HX7WCW2601S001ML2,8/27/2017,8/28/2017,"(3DT) MATSON TERMINAL,CA,US",NORTHCOM,"(TA3) GARAPAN,MP",PACOM,MATS - MATSON NAVIGATION CO.,AAFES,20FT,CLASS VI,20913,3833.3
N002502641S024TT2,9/2/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,NEXCOM,40FT,CLASS I,29220,4664
R0913671440631XXX,8/2/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,14226,3164.6
SC31033392M029ML9,8/15/2017,9/16/2017,"(4D3) SEATTLE,WA,US",NORTHCOM,"(YC3) WHITTIER,AK,US",NORTHCOM,AKMR - ALASKA MARINE LINES,DLA,20FT,CLASS II,11377,2879.7
SC31052231M218MLB,9/12/2017,9/3/2017,"(2E4) HOUSTON,TX,US",NORTHCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,HLUS - HAPAG-LLOYD,DLA,40FT,CLASS I,24589,4200.9
SC31052287M137MM5,5/24/2017,,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,17034,3445.4
SC31052342M165MMB,9/20/2017,9/8/2017,"(2E4) HOUSTON,TX,US",NORTHCOM,"(KF4) GENOVA,IT",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,10701,2812.1
SC31052936M030MM5,8/2/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JF1) BREMERHAVEN,DE",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,11772,2919.2
SC31053330M0382L5,9/24/2017,9/2/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(PQ7) JEBEL ALI,AE",CENTCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,18397,3581.7
SE6F072375V005KK9,10/23/2017,10/6/2017,"(KJ6) ALGECIRAS,ES",EUCOM,"(PQ2) ABU DHABI,AE",CENTCOM,UNKNOWN,DLA,20FT,CLASS III,13161,3058.1
SW31232958S301MM2,7/31/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JG1) ROTTERDAM,NL",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS II,24599,4201.9
SW31623122M006MM8,8/28/2017,9/2/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS IX,19497,3691.7
SW32252641S066TT2,8/26/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS II,26141,4356.1
SW32252829S052TTA,9/26/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS II,21061,3848.1
W25G1R3127V202KK2,5/2/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,15140,3256
W31G1Z3127V011KK2,7/21/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,28178,4559.8
W36QLP2339V056KK2,8/15/2017,9/24/2017,"(LSE) BURGAS,BG",EUCOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,20FT,Class Unknown,12434,2985.4
W44XMF2541V008KK2,3/24/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LJ5) ASHDOD,IL",EUCOM,MSCS - MSC,ARMY,20FT,CLASS V,16994,3441.4
W44XMF2541V072KK2,3/24/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LJ5) ASHDOD,IL",EUCOM,MSCS - MSC,ARMY,20FT,CLASS V,12802,3022.2
W44XMF2617V038KK2,8/15/2017,8/31/2017,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,"(TA6) GUAM MAG,GU",PACOM,MSCS - MSC,ARMY,20FT,CLASS V,23034,4045.4
W53XMD2582V018KK2,7/14/2017,9/9/2017,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,"(UDA) CHINHAE,KR",PACOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,20FT,CLASS V,10045,2746.5
W53XMD3349V073KK2,9/27/2017,9/7/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(UDA) CHINHAE,KR",PACOM,MSCS - MSC,ARMY,20FT,CLASS V,18404,3582.4
W56F9Z1198V018LK2,8/20/2017,9/29/2017,"(RB1) SINGAPORE,SG",PACOM,"(QF1) DIEGO GARCIA,DG",PACOM,UNKNOWN,ARMY,20FT,CLASS II,25431,4285.1
W65XMEA3729V025KK,6/7/2018,9/24/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PQ2) ABU DHABI,AE",CENTCOM,UNKNOWN,ARMY,20FT,CLASS V,11405,2882.5
W90CGJ71949009XAX,9/12/2017,9/6/2017,"(3GA) PORT HUENEME NCBC,CA,US",NORTHCOM,"(UB1) NAHA,JP",PACOM,CEGL - CENTRAL GULF LINES,ARMY,BREAKBULK,CLASS VII,10846,2826.6
WT5LE12178V058KK2,4/2/2017,9/3/2017,"(UL9) HIRAO,JP",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,ARMY,BREAKBULK,CLASS VII,13643,3106.3
A7046458453575PXX,4/9/2017,9/24/2017,"(UBF) AJA PORT,JP",PACOM,"(UM3) TOKYO,JP",PACOM,UNKNOWN,ARMY,BREAKBULK,Class Unknown,14540,3196
BAEC8450779002XBX,10/1/2017,9/24/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PQ2) ABU DHABI,AE",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS V,29175,4659.5
BC6N7561379001XFX,9/9/2017,9/3/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(ND2) DAR ES SALAAM,TZ",AFRICOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,28626,4604.6
BJ8H7560439020XNX,8/29/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,17952,3537.2
BJ8H7560439023XNX,9/14/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,27987,4540.7
BJ8H7560439024XHX,9/14/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,10633,2805.3
BJ8H7561799036XJX,7/1/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,14264,3168.4
BJ8H7562579003XGX,9/30/2017,11/5/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,11835,2925.5
F7227219330997PXX,10/30/2017,9/21/2017,"(UBF) AJA PORT,JP",PACOM,"(3H2) SAN PEDRO,CA,US",NORTHCOM,UNKNOWN,ARMY,BREAKBULK,Class Unknown,15774,3319.4
FA307270620016XXA,3/28/2017,9/7/2017,"(CE1) GUANTANAMO,A2",SOUTHCOM,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,UNKNOWN,NAVY,BREAKBULK,CLASS VII,21715,3913.5
FB527071780011XXX,8/17/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS IX,22927,4034.7
FB52847038X005UAX,4/3/2017,9/3/2017,"(UDA) CHINHAE,KR",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,BREAKBULK,CLASS VII,13550,3097
FV52402187V007KK2,4/22/2017,9/24/2017,"(TA6) GUAM MAG,GU",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,20FT,CLASS V,16614,3403.4
HQCAAB3100S206KTA,9/4/2017,9/7/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,DECA,40FT,CLASS II,26431,4385.1
HQCAAB3100S213KTA,9/4/2017,9/7/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,DECA,40FT,CLASS I,10880,2830
HX2PX17160395VXXX,8/2/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,20186,3760.6
HX6ATX3359S024MM2,9/13/2017,9/7/2017,"(1Q1) SAVANNAH,GA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,20FT,CLASS I,16832,3425.2
HX7WCW2641S070TS2,9/1/2017,8/28/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,AAFES,40FT,CLASS I,13942,3136.2
